id,feature_id,feature_type,camera_heading,u,v,photo_wkt,sign_wkt
VID_20260226_110122-pos__0001848_d03,93300000703,hdSign,181.366997768259,2416,1442,POINT Z (117.36161389764693 39.984777075239826 7.75),POINT Z (117.3615122434404 39.98448683139169 8.742525989530192)
VID_20260226_110122-pos__0001849_d01,93300000436,hdSign,181.379761193576,2282,1080,POINT Z (117.3616115992493 39.98470367024575 7.817),POINT Z (117.36155570961581 39.98448843468767 13.660244619977322)
VID_20260226_110122-pos__0001849_d04,93300000703,hdSign,181.379761193576,2572,1434,POINT Z (117.3616115992493 39.98470367024575 7.817),POINT Z (117.3615122434404 39.98448683139169 8.742525989530192)
VID_20260226_110122-pos__0001850_d00,93300000436,hdSign,181.657259901853,2450,853,POINT Z (117.36160910482637 39.98462988871628 7.872),POINT Z (117.36155570961581 39.98448843468767 13.660244619977322)
VID_20260226_110122-pos__0001850_d01,93300000438,hdSign,181.657259901853,2644,540,POINT Z (117.36160910482637 39.98462988871628 7.872),POINT Z (117.3615354016083 39.98448768858736 16.353986112335388)
VID_20260226_110122-pos__0001850_d02,93300000703,hdSign,181.657259901853,2921,1423,POINT Z (117.36160910482637 39.98462988871628 7.872),POINT Z (117.3615122434404 39.98448683139169 8.742525989530192)
VID_20260226_110122-pos__0001868_d00,93300000707,hdSign,183.858812223313,2358,1382,POINT Z (117.3615185077322 39.9832578214212 8.737),POINT Z (117.361394138304 39.98293247847701 10.931380791919159)
VID_20260226_110122-pos__0001868_d01,93300000706,hdSign,183.858812223313,3014,1379,POINT Z (117.3615185077322 39.9832578214212 8.737),POINT Z (117.36143534499858 39.98315042733463 9.756381570237023)
VID_20260226_110122-pos__0001913_d00,93300000711,hdSign,190.195123339367,2136,1208,POINT Z (117.36092315642672 39.979651706697084 8.487),POINT Z (117.36081277866806 39.979345720872665 13.989122478801017)
VID_20260226_110122-pos__0001913_d02,93300000713,hdSign,190.195123339367,2336,1433,POINT Z (117.36092315642672 39.979651706697084 8.487),POINT Z (117.36076933122617 39.97935442295529 9.31918800801885)
VID_20260226_110122-pos__0001914_d00,93300000711,hdSign,190.367991337397,2193,1107,POINT Z (117.36090404078071 39.97957118160204 8.453),POINT Z (117.36081277866806 39.979345720872665 13.989122478801017)
VID_20260226_110122-pos__0001914_d02,93300000713,hdSign,190.367991337397,2477,1422,POINT Z (117.36090404078071 39.97957118160204 8.453),POINT Z (117.36076933122617 39.97935442295529 9.31918800801885)
VID_20260226_110122-pos__0001915_d00,93300000711,hdSign,190.758259782059,2327,881,POINT Z (117.36088489748464 39.979490860662985 8.45),POINT Z (117.36081277866806 39.979345720872665 13.989122478801017)
VID_20260226_110122-pos__0001915_d01,93300000712,hdSign,190.758259782059,2520,564,POINT Z (117.36088489748464 39.979490860662985 8.45),POINT Z (117.3607931784668 39.9793496896025 16.667417242672016)
VID_20260226_110122-pos__0001915_d02,93300000713,hdSign,190.758259782059,2809,1403,POINT Z (117.36088489748464 39.979490860662985 8.45),POINT Z (117.36076933122617 39.97935442295529 9.31918800801885)
VID_20260226_110122-pos__0001931_d01,93300000667,hdSign,193.00340405727,2662,1250,POINT Z (117.36054343367992 39.97825337335954 8.22),POINT Z (117.360478499576 39.97825698119 6.963409283655)
VID_20260226_110122-pos__0001932_d01,93300000830,hdSign,193.260440885289,3211,1529,POINT Z (117.36052040455019 39.97817738713537 8.209),POINT Z (117.360409058326 39.978088218026926 8.230886126823492)
VID_20260226_110122-pos__0001932_d02,93300000728,hdSign,193.260440885289,3419,1016,POINT Z (117.36052040455019 39.97817738713537 8.209),POINT Z (117.36041392354484 39.978101359472824 10.745133769815029)
VID_20260226_110122-pos__0002047_d00,93300000788,hdSign,192.051173893619,2118,1086,POINT Z (117.35752952140648 39.96896895282219 9.375),POINT Z (117.3574344334486 39.96876302424307 14.852704484868353)
VID_20260226_110122-pos__0002047_d02,93300000791,hdSign,192.051173893619,2408,1443,POINT Z (117.35752952140648 39.96896895282219 9.375),POINT Z (117.35739168132709 39.96877030981655 9.978257585711066)
VID_20260226_110122-pos__0002048_d00,93300000788,hdSign,191.98512299242,2309,768,POINT Z (117.35750589464153 39.96888356174211 9.263),POINT Z (117.3574344334486 39.96876302424307 14.852704484868353)
VID_20260226_110122-pos__0002048_d01,93300000790,hdSign,191.98512299242,2540,401,POINT Z (117.35750589464153 39.96888356174211 9.263),POINT Z (117.35741501084975 39.96876579714878 17.487007116072114)
VID_20260226_110122-pos__0002048_d02,93300000791,hdSign,191.98512299242,2844,1424,POINT Z (117.35750589464153 39.96888356174211 9.263),POINT Z (117.35739168132709 39.96877030981655 9.978257585711066)
